Plot,Species,Lifeform,Treatment,Structure,photo,lma,wp,leaf.n,g,e,phis2,wue,rld,srl,rdiam,fitness,canopy,rtd,relfit,relcanopy
F1-2,Arca,P,M,F,19.12803188,57.371875,-1.8,3.07,0.2117,3.467,0.188,6.005191808,8.663745988,29.36226516,0.3099,626,0.71424,0.452150538,0.316519453,-0.292831683
F2-7,Arca,P,M,F,27.44641243,69.78191582,-1.766666667,3.003138327,0.374614273,5.240105332,0.217220028,5.030585145,4.2760286,160.8094444,0.4183,1664,0.57405,0.045283019,0.841355223,-0.431633663
F3-9,Arca,P,M,F,12.99320341,69.59374905,-1.85,2.596177559,0.1831,4.63,0.24,4.257019438,6.610843222,23.03709119,0.3485,594,0.962535,0.455452436,0.300339545,-0.04699505
F6-4,Arca,P,M,F,18.06230902,72.98630173,-2,2.683249053,0.178357143,2.360714286,0.199,6.335854766,5.40142035,80.35118998,0.4361,325.5,0.599256,0.083304348,0.164580003,-0.406677228
F7-6,Arca,P,M,F,14.15373564,66.38190291,-1.8,2.96,0.2256875,2.7875,0.263,4.946188341,5.731111903,41.925923,0.2967,2293.5,1.08528,0.344557823,1.159644353,0.074534653
F8-4,Arca,P,M,F,17.39695415,63.02079985,-1.525,3.59,0.128633651,1.561734702,0.111229247,11.00495729,,,,65,0.374463,,0.032865438,-0.629244554
G1-6,Arca,P,H,G,19.4880886,57.8798626,-1.35,3.21,0.228666667,2.84,0.271,6.72143975,,,,1196,0.97461,,0.604724066,-0.035039604
G2-7,Arca,P,H,G,8.959042706,74.6508846,-1.7,2.55,0.107214286,1.311428571,0.154,6.323529412,6.753112171,85.16778761,0.2978,570,1.1526,0.168656716,0.288204614,0.141188119
G3-1,Arca,P,H,G,13.79738491,72.333478,-1.75,3.02,0.233357143,3.4,0.192,4.107142857,7.954441584,66.01025756,0.3292,738,1.038906,0.177888446,0.373149131,0.028619802
G4-5,Arca,P,H,G,20.99375835,69.11124933,-1,2.24,0.336428571,3.8,0.204,5.372180451,4.569251274,19.80037292,0.3833,580,1.35828,0.437939698,0.293260835,0.344831683
G5-9,Arca,P,H,G,19.62156771,83.8776275,-1.5,2.31,0.395294118,5.152941176,0.197,3.76826484,,,,4496,3.520746,,2.273277093,2.485887129
G6-2,Arca,P,H,G,16.39500482,62.49443023,-1.05,2.39047619,0.2945,3.78,0.214,4.252645503,5.633403454,20.57615113,0.3925,1171,1.088728,0.401953819,0.592083513,0.077948515
G7-9,Arca,P,H,G,10.83256443,81.25492571,-1.25,2.62,0.1625,2.430714286,0.195,4.766382604,5.592407952,18.0180021,0.3439,1956,0.289536,0.598113208,0.988996885,-0.713330693
H1-3,Arca,P,L,H,25.34834185,74.91017553,-2.2,2.99,0.222666667,3.478666667,0.238,8.137217325,4.275233142,96.61559871,0.2925,1152,0.55566,0.153731343,0.582476693,-0.449841584
H2-4,Arca,P,L,H,18.43967364,63.38323886,-1.9,3.27,0.165925926,2.78962963,0.225,7.833244822,,,,1656,0.664332,,0.837310246,-0.342245545
H3-1,Arca,P,L,H,23.85462899,54.96156753,-2.4,3.65,0.221,2.921428571,0.221,6.975550122,3.720951048,13.26996565,0.3266,18,0.6634,0.897797357,0.009101198,-0.343168317
H4-9,Arca,P,L,H,16.27383321,78.44314923,-2.2,3.21,0.1538,1.77,0.232,8.305084746,4.759916223,121.0639943,0.2754,764,1.05735,0.138431373,0.386295307,0.046881188
H5-4,Arca,P,L,H,36.11902224,66.67350018,-2.4,2.99,0.326555556,3.538888889,0.224,9.152276295,,,,81.5,0.8848,,0.041208204,-0.123960396
H6-3,Arca,P,L,H,10.66690208,79.5042115,-1.95,2.75,0.1058,1.238,0.209,8.206785137,4.490097383,11.90955409,0.5631,342,0.4284,0.012287582,0.172922768,-0.575841584
H7-1,Arca,P,L,H,50.49405919,67.66573789,-1.95,2.86,0.3968,4.52,0.287,10.13274336,2.883261678,27.74894805,0.3568,77,0.971702,0.359813084,0.038932904,-0.037918812
H8-2,Arca,P,L,H,34.13124922,62.13569278,-2,2.6,0.254333333,3.0125,0.234,11.1922545,,,,15,0.453618,,0.007584332,-0.550873267
I1-4,Arca,P,M,I,18.63104617,73.43246731,-1.575,3.26,0.242,4.15,0.224,5.438554217,3.320314853,19.64628975,0.3694,1923,1.95845,0.109663866,0.972311354,0.939059406
I2-7,Arca,P,M,I,8.159245024,68.19105435,-1.5,2.25,0.067,1.352,0.194,8.165680473,,,,282,1.11807,,0.14258544,0.107
I3-2,Arca,P,M,I,13.14795665,74.53025855,-1.95,2.1,0.284370288,4.323343062,0.122726527,3.161266499,6.163248622,70.90337727,0.4826,1902,1.3013,0.087547649,0.96169329,0.288415842
I4-9,Arca,P,M,I,30.31025486,76.45901102,-1.65,2.87,0.305958054,4.505001274,0.222028357,6.981316975,4.322085004,9.366782905,0.3861,1148,0.85224,0.912440191,0.580454204,-0.15619802
I5-3,Arca,P,M,I,28.52178004,66.60979865,-1.75,2.93,0.362722531,5.515962574,0.207251967,5.233139282,7.763459387,84.1294835,0.279,828,1.084122,0.194150418,0.418655123,0.073388119
I6-4,Arca,P,M,I,13.91868816,59.61550385,-2,2.48,0.217969849,3.082448119,0.175203919,4.409721841,,,,387,0.5168,,0.195675764,-0.488316832
I7-2,Arca,P,M,I,20.94063635,69.8715044,-1.45,2.45,0.3316,4.748,0.23,4.776748104,4.329826667,41.650875,0.3591,836.5,1.15128,0.1115727,0.422952911,0.139881188
I8-6,Arca,P,M,I,19.39236402,65.26328842,-1.65,3.54,0.206470588,2.382352941,0.257,7.474074074,,,,10160,1.807234,,5.137120832,0.789340594
A1-8,Avba,A,M,A,17.5603286,71.4987715,-1.3,1.86,0.159385802,1.671067396,0.102339221,9.213172559,2.121103997,100.7605556,0.327,5.66,0.054378,0.117757009,0.520825571,-0.011309091
A2-7,Avba,A,M,A,40.21083886,54.88881045,-1.5,4.75,0.534527287,5.027731911,0.237,7.177033493,4.562834019,85.31058309,0.3459,40.32,0.04914,0.124727273,3.710192051,-0.106545455
A3-6,Avba,A,M,A,25.10305001,45.42735043,-1.3,3.38,0.298800962,4.114513354,0.145601889,6.084679261,4.495514648,85.84039216,0.3447,21.56,0.03348,0.124897959,1.983922138,-0.391272727
A4-9,Avba,A,M,A,20.36219338,59.95824635,-1.15,3.18,0.279434663,4.627953542,0.164,4.620253165,,,,5.6,0.019516,,0.515304451,-0.645163636
A5-3,Avba,A,M,A,32.417548,50.70291982,-2,4.9,0.326539704,3.407951888,0.193,7.437908497,,,,19.1,0.026448,,1.757556254,-0.519127273
A5-4,Avba,A,M,A,31.14621408,69.21247357,-1.1,3.22,0.418064603,3.722565169,0.208,5.997171146,,,,4.8,0.064554,,0.44168953,0.173709091
A6-4,Avba,A,M,A,16.17537553,63.10559006,-1.6,2.97,0.26846645,5.436686181,0.193,4.212389381,2.133949884,82.71856,0.3377,10.05,0.053352,0.134408602,0.924787453,-0.029963636
A7-5,Avba,A,M,A,25.89832715,42.47235611,-1.4,3.92,0.394840593,4.036278469,0.164,5.660377358,2.853341134,68.28965649,0.3681,11.14,0.035568,0.137894737,1.025087784,-0.353309091
A8-5,Avba,A,M,A,9.319691251,63.8483965,-1.6,2.29,0.069687741,1.197743478,0.122812198,8.740860967,,,,5.43,0.0495,,0.499661281,-0.1
B1-8,Avba,A,H,B,17.22266033,59.54068614,-1.4,3.86,0.231372739,4.728201766,0.19684179,4.914669854,3.940384353,95.94321608,0.2786,15.26,0.05292,0.171551724,1.40420463,-0.037818182
B2-1,Avba,A,H,B,16.05420263,65.27001862,-1.1,2.23,0.155271456,1.879007204,0.080173336,7.423067634,,,,6.07,0.026144,,0.558553218,-0.524654545
B3-3,Avba,A,H,B,14.78015012,60.62222222,-0.95,2.31,0.292600997,4.927509026,0.134950241,3.565502153,2.869168701,93.60120482,0.3291,15.42,0.100567,0.125757576,1.418927615,0.828490909
B4-6,Avba,A,H,B,27.16510719,58.72504829,-1.1,4,0.363498615,3.440833225,0.168500118,6.208204478,2.964153838,107.0531507,0.2869,15.06,0.041477,0.144554455,1.3858009,-0.245872727
B5-6,Avba,A,H,B,11.94440117,39.66480447,-1.4,3.74,0.124903792,2.134808472,0.116608606,6.52961865,2.408848327,111.705,0.2869,5.86,0.145464,0.138461538,0.539229301,1.6448
B6-4,Avba,A,H,B,30.2137356,49.39056704,-1.2,3,0.338917143,3.548975192,0.147,7.148217636,,,,0.98,0.015096,,0.090178279,-0.725527273
B7-9,Avba,A,H,B,29.82920843,44.37201217,-2.5,4.59,0.300147924,3.108076046,0.175407576,8.269854022,1.084335713,100.1585185,0.2947,35.53,0.1386,0.145945946,3.269422707,1.52
B8-3,Avba,A,H,B,25.11307402,48.5045045,-1.25,2.61,0.214783372,3.61427662,0.160595603,6.158980134,,,,5.89,0.080454,,0.541989861,0.4628
C1-9,Avba,A,H,C,27.41605105,57.7383592,-1.4,3.24,0.367951761,5.126988265,0.170997844,5.54890139,3.491634216,67.78424149,0.2994,6.17,0.04092,0.20974026,0.567755083,-0.256
C2-9,Avba,A,H,C,25.99849134,47.37836561,-1.7,3.7,0.356387126,4.753313287,0.206,5.745079663,,,,16.58,0.11232,,1.525669251,1.042181818
C3-8,Avba,A,H,C,15.94480814,54.51343021,-0.75,3.09,0.236125047,4.405992904,0.191,4.789053592,3.602127,114.7850932,0.2729,8.03,0.069174,0.149074074,0.738909776,0.257709091
C4-5,Avba,A,H,C,27.25164967,56.34042553,-1,2.85,0.269461212,2.350791131,0.155004993,9.515386093,2.389962062,92.66242647,0.3227,3.55,0.02112,0.132038835,0.326666215,-0.616
C5-8,Avba,A,H,C,7.619654834,79.29743737,-1.45,2.15,0.076021873,1.303232107,0.139,6.857993197,,,,15.64,0.0138,,1.439171718,-0.749090909
C6-3,Avba,A,H,C,46.70593583,41.13038612,-1.8,4.52,0.65944956,7.77556969,0.240305099,5.416756242,2.610374527,80.19341317,0.3464,42.37,0.014,0.132539683,3.898830287,-0.745454545
C7-9,Avba,A,H,C,15.96241204,59.03614458,-0.9,2.98,0.098611607,1.303255345,0.115749206,10.74864884,1.175675279,75.39625,0.2872,7.62,0.078,0.205128205,0.701182129,0.418181818
C8-7,Avba,A,H,C,30.03720524,57.58374106,-0.7,3.14,0.441582914,6.649977971,0.219709741,4.71688436,,,,20.27,0.123728,,1.865218077,1.2496
D1-9,Avba,A,L,D,9.943817054,66.15031555,-1.95,2.38,0.058346966,0.856898029,0.139,12.45454545,1.763727899,88.10257732,0.3122,3.16,0.045402,0.149230769,0.29077894,-0.174509091
D2-5,Avba,A,L,D,14.53129187,65.64939674,-2.2,3.18,0.161564228,1.629664252,0.174,8.130975143,,,,3.4,0.025935,,0.312863417,-0.528454545
